Year,Partner,Value (in Millions),Country,Population
2007,non-EU Countries,4567,Austria,8295487
2007,non-EU Countries,6495,Belgium,10625700
2007,non-EU Countries,29,Cyprus,1063713
2007,non-EU Countries,2545,Czech Republic,10298828
2007,non-EU Countries,51479,Germany,82266372
2007,non-EU Countries,3775,Denmark,5461438
2007,non-EU Countries,97,Estonia,1340680
2007,non-EU Countries,226,Greece,11048473
2007,non-EU Countries,2713,Spain,45226803
2007,non-EU Countries,6197,Finland,5288720
2007,non-EU Countries,35399,France,64016225
2007,non-EU Countries,267,Croatia,4310217
2007,non-EU Countries,5311,Hungary,10055780
2007,non-EU Countries,9433,Ireland,4398942
2007,non-EU Countries,10657,Italy,58438310
2007,non-EU Countries,239,Lithuania,3231294
2007,non-EU Countries,455,Luxembourg,479993
2007,non-EU Countries,133,Latvia,2200325
2007,non-EU Countries,708,Malta,406724
2007,non-EU Countries,17545,Netherlands,16381696
2007,non-EU Countries,917,Poland,38120560
2007,non-EU Countries,1869,Portugal,10542964
2007,non-EU Countries,243,Romania,20882982
2007,non-EU Countries,9035,Sweden,9148092
2007,non-EU Countries,494,Slovenia,2018122
2007,non-EU Countries,334,Slovak Republic,5374622
2007,non-EU Countries,27888,United Kingdom,61322463
2007,EU Member States,8700,Austria,8295487
2007,EU Member States,14343,Belgium,10625700
2007,EU Member States,120,Cyprus,1063713
2007,EU Member States,10083,Czech Republic,10298828
2007,EU Member States,73731,Germany,82266372
2007,EU Member States,5011,Denmark,5461438
2007,EU Member States,531,Estonia,1340680
2007,EU Member States,589,Greece,11048473
2007,EU Member States,5119,Spain,45226803
2007,EU Member States,5311,Finland,5288720
2007,EU Member States,32662,France,64016225
2007,EU Member States,318,Croatia,4310217
2007,EU Member States,9546,Hungary,10055780
2007,EU Member States,13387,Ireland,4398942
2007,EU Member States,11233,Italy,58438310
2007,EU Member States,678,Lithuania,3231294
2007,EU Member States,5052,Luxembourg,479993
2007,EU Member States,147,Latvia,2200325
2007,EU Member States,366,Malta,406724
2007,EU Member States,55909,Netherlands,16381696
2007,EU Member States,2191,Poland,38120560
2007,EU Member States,746,Portugal,10542964
2007,EU Member States,7326,Sweden,9148092
2007,EU Member States,521,Slovenia,2018122
2007,EU Member States,1799,Slovak Republic,5374622
2007,EU Member States,26291,United Kingdom,61322463
2007,the World,13266,Austria,8295487
2007,the World,20839,Belgium,10625700
2007,the World,149,Cyprus,1063713
2007,the World,12628,Czech Republic,10298828
2007,the World,125210,Germany,82266372
2007,the World,8786,Denmark,5461438
2007,the World,628,Estonia,1340680
2007,the World,815,Greece,11048473
2007,the World,7832,Spain,45226803
2007,the World,11508,Finland,5288720
2007,the World,68061,France,64016225
2007,the World,585,Croatia,4310217
2007,the World,14857,Hungary,10055780
2007,the World,22820,Ireland,4398942
2007,the World,21890,Italy,58438310
2007,the World,918,Lithuania,3231294
2007,the World,5507,Luxembourg,479993
2007,the World,280,Latvia,2200325
2007,the World,1074,Malta,406724
2007,the World,73455,Netherlands,16381696
2007,the World,3108,Poland,38120560
2007,the World,2615,Portugal,10542964
2007,the World,1035,Romania,20882982
2007,the World,16360,Sweden,9148092
2007,the World,1015,Slovenia,2018122
2007,the World,2133,Slovak Republic,5374622
2007,the World,54179,United Kingdom,61322463
2008,non-EU Countries,4812,Austria,8321496
2008,non-EU Countries,6604,Belgium,10709973
2008,non-EU Countries,29,Cyprus,1081563
2008,non-EU Countries,2681,Czech Republic,10384603
2008,non-EU Countries,50876,Germany,82110097
2008,non-EU Countries,3912,Denmark,5493621
2008,non-EU Countries,116,Estonia,1337090
2008,non-EU Countries,449,Greece,11077841
2008,non-EU Countries,3181,Spain,45954106
2008,non-EU Countries,5387,Finland,5313399
2008,non-EU Countries,38665,France,64374984
2008,non-EU Countries,275,Croatia,4309705
2008,non-EU Countries,5665,Hungary,10038188
2008,non-EU Countries,9424,Ireland,4489544
2008,non-EU Countries,11386,Italy,58826731
2008,non-EU Countries,450,Lithuania,3198231
2008,non-EU Countries,531,Luxembourg,488650
2008,non-EU Countries,132,Latvia,2177322
2008,non-EU Countries,637,Malta,409379
2008,non-EU Countries,15672,Netherlands,16445593
2008,non-EU Countries,1303,Poland,38125759
2008,non-EU Countries,1724,Portugal,10558177
2008,non-EU Countries,433,Romania,20537875
2008,non-EU Countries,9817,Sweden,9219637
2008,non-EU Countries,525,Slovenia,2021316
2008,non-EU Countries,380,Slovak Republic,5379233
2008,non-EU Countries,26647,United Kingdom,61806995
2008,EU Member States,8547,Austria,8321496
2008,EU Member States,15196,Belgium,10709973
2008,EU Member States,183,Cyprus,1081563
2008,EU Member States,11434,Czech Republic,10384603
2008,EU Member States,71427,Germany,82110097
2008,EU Member States,4604,Denmark,5493621
2008,EU Member States,522,Estonia,1337090
2008,EU Member States,582,Greece,11077841
2008,EU Member States,4785,Spain,45954106
2008,EU Member States,5979,Finland,5313399
2008,EU Member States,34956,France,64374984
2008,EU Member States,365,Croatia,4309705
2008,EU Member States,9263,Hungary,10038188
2008,EU Member States,11332,Ireland,4489544
2008,EU Member States,10550,Italy,58826731
2008,EU Member States,598,Lithuania,3198231
2008,EU Member States,5689,Luxembourg,488650
2008,EU Member States,54417,Netherlands,16445593
2008,EU Member States,3646,Poland,38125759
2008,EU Member States,743,Portugal,10558177
2008,EU Member States,6646,Sweden,9219637
2008,EU Member States,680,Slovenia,2021316
2008,EU Member States,2136,Slovak Republic,5379233
2008,EU Member States,22939,United Kingdom,61806995
2008,the World,13358,Austria,8321496
2008,the World,21801,Belgium,10709973
2008,the World,212,Cyprus,1081563
2008,the World,14115,Czech Republic,10384603
2008,the World,122304,Germany,82110097
2008,the World,8515,Denmark,5493621
2008,the World,638,Estonia,1337090
2008,the World,1031,Greece,11077841
2008,the World,7966,Spain,45954106
2008,the World,11365,Finland,5313399
2008,the World,73621,France,64374984
2008,the World,640,Croatia,4309705
2008,the World,14928,Hungary,10038188
2008,the World,20756,Ireland,4489544
2008,the World,21936,Italy,58826731
2008,the World,1048,Lithuania,3198231
2008,the World,6220,Luxembourg,488650
2008,the World,319,Latvia,2177322
2008,the World,906,Malta,409379
2008,the World,70089,Netherlands,16445593
2008,the World,4950,Poland,38125759
2008,the World,2467,Portugal,10558177
2008,the World,1819,Romania,20537875
2008,the World,16463,Sweden,9219637
2008,the World,1205,Slovenia,2021316
2008,the World,2516,Slovak Republic,5379233
2008,the World,49585,United Kingdom,61806995
2009,non-EU Countries,4366,Austria,8343323
2009,non-EU Countries,7578,Belgium,10796493
2009,non-EU Countries,39,Cyprus,1098083
2009,non-EU Countries,2497,Czech Republic,10443936
2009,non-EU Countries,47778,Germany,81902307
2009,non-EU Countries,4113,Denmark,5523095
2009,non-EU Countries,96,Estonia,1334515
2009,non-EU Countries,897,Greece,11107017
2009,non-EU Countries,3037,Spain,46362946
2009,non-EU Countries,2863,Finland,5338871
2009,non-EU Countries,33871,France,64707040
2009,non-EU Countries,261,Croatia,4305181
2009,non-EU Countries,4398,Hungary,10022650
2009,non-EU Countries,8971,Ireland,4535375
2009,non-EU Countries,10590,Italy,59095365
2009,non-EU Countries,220,Lithuania,3162916
2009,non-EU Countries,734,Luxembourg,497783
2009,non-EU Countries,113,Latvia,2141669
2009,non-EU Countries,511,Malta,412477
2009,non-EU Countries,15328,Netherlands,16530388
2009,non-EU Countries,1393,Poland,38151603
2009,non-EU Countries,532,Portugal,10568247
2009,non-EU Countries,599,Romania,20367487
2009,non-EU Countries,7866,Sweden,9298515
2009,non-EU Countries,412,Slovenia,2039669
2009,non-EU Countries,336,Slovak Republic,5386406
2009,non-EU Countries,27644,United Kingdom,62276270
2009,EU Member States,7143,Austria,8343323
2009,EU Member States,15784,Belgium,10796493
2009,EU Member States,141,Cyprus,1098083
2009,EU Member States,9834,Czech Republic,10443936
2009,EU Member States,64863,Germany,81902307
2009,EU Member States,4201,Denmark,5523095
2009,EU Member States,355,Estonia,1334515
2009,EU Member States,488,Greece,11107017
2009,EU Member States,4757,Spain,46362946
2009,EU Member States,3387,Finland,5338871
2009,EU Member States,34810,France,64707040
2009,EU Member States,308,Croatia,4305181
2009,EU Member States,8837,Hungary,10022650
2009,EU Member States,9380,Ireland,4535375
2009,EU Member States,9259,Italy,59095365
2009,EU Member States,468,Lithuania,3162916
2009,EU Member States,5678,Luxembourg,497783
2009,EU Member States,181,Latvia,2141669
2009,EU Member States,211,Malta,412477
2009,EU Member States,50293,Netherlands,16530388
2009,EU Member States,4192,Poland,38151603
2009,EU Member States,627,Portugal,10568247
2009,EU Member States,1790,Romania,20367487
2009,EU Member States,5865,Sweden,9298515
2009,EU Member States,621,Slovenia,2039669
2009,EU Member States,2022,Slovak Republic,5386406
2009,EU Member States,20867,United Kingdom,62276270
2009,the World,11509,Austria,8343323
2009,the World,23362,Belgium,10796493
2009,the World,181,Cyprus,1098083
2009,the World,12331,Czech Republic,10443936
2009,the World,112641,Germany,81902307
2009,the World,8315,Denmark,5523095
2009,the World,450,Estonia,1334515
2009,the World,1385,Greece,11107017
2009,the World,7793,Spain,46362946
2009,the World,6250,Finland,5338871
2009,the World,68681,France,64707040
2009,the World,570,Croatia,4305181
2009,the World,13235,Hungary,10022650
2009,the World,18351,Ireland,4535375
2009,the World,19849,Italy,59095365
2009,the World,689,Lithuania,3162916
2009,the World,6413,Luxembourg,497783
2009,the World,294,Latvia,2141669
2009,the World,722,Malta,412477
2009,the World,65621,Netherlands,16530388
2009,the World,5585,Poland,38151603
2009,the World,1159,Portugal,10568247
2009,the World,2389,Romania,20367487
2009,the World,13730,Sweden,9298515
2009,the World,1033,Slovenia,2039669
2009,the World,2358,Slovak Republic,5386406
2009,the World,48511,United Kingdom,62276270
2010,non-EU Countries,5203,Austria,8363404
2010,non-EU Countries,8967,Belgium,10895586
2010,non-EU Countries,46,Cyprus,1112612
2010,non-EU Countries,3159,Czech Republic,10474410
2010,non-EU Countries,57711,Germany,81776930
2010,non-EU Countries,3136,Denmark,5547683
2010,non-EU Countries,137,Estonia,1331475
2010,non-EU Countries,564,Greece,11121341
2010,non-EU Countries,3235,Spain,46576897
2010,non-EU Countries,2829,Finland,5363352
2010,non-EU Countries,40393,France,65027507
2010,non-EU Countries,258,Croatia,4295427
2010,non-EU Countries,5872,Hungary,10000023
2010,non-EU Countries,8777,Ireland,4560155
2010,non-EU Countries,11610,Italy,59277417
2010,non-EU Countries,274,Lithuania,3097282
2010,non-EU Countries,919,Luxembourg,506953
2010,non-EU Countries,125,Latvia,2097555
2010,non-EU Countries,656,Malta,414508
2010,non-EU Countries,17222,Netherlands,16615394
2010,non-EU Countries,1779,Poland,38042794
2010,non-EU Countries,525,Portugal,10573100
2010,non-EU Countries,1080,Romania,20246871
2010,non-EU Countries,10161,Sweden,9378126
2010,non-EU Countries,400,Slovenia,2048583
2010,non-EU Countries,414,Slovak Republic,5391428
2010,non-EU Countries,32843,United Kingdom,62766365
2010,EU Member States,8417,Austria,8363404
2010,EU Member States,16873,Belgium,10895586
2010,EU Member States,159,Cyprus,1112612
2010,EU Member States,12965,Czech Republic,10474410
2010,EU Member States,75485,Germany,81776930
2010,EU Member States,3627,Denmark,5547683
2010,EU Member States,775,Estonia,1331475
2010,EU Member States,620,Greece,11121341
2010,EU Member States,5884,Spain,46576897
2010,EU Member States,2412,Finland,5363352
2010,EU Member States,40218,France,65027507
2010,EU Member States,361,Croatia,4295427
2010,EU Member States,9796,Hungary,10000023
2010,EU Member States,8469,Ireland,4560155
2010,EU Member States,10482,Italy,59277417
2010,EU Member States,671,Lithuania,3097282
2010,EU Member States,3436,Luxembourg,506953
2010,EU Member States,219,Latvia,2097555
2010,EU Member States,235,Malta,414508
2010,EU Member States,63316,Netherlands,16615394
2010,EU Member States,5510,Poland,38042794
2010,EU Member States,605,Portugal,10573100
2010,EU Member States,2589,Romania,20246871
2010,EU Member States,7161,Sweden,9378126
2010,EU Member States,767,Slovenia,2048583
2010,EU Member States,2802,Slovak Republic,5391428
2010,EU Member States,22638,United Kingdom,62766365
2010,the World,13620,Austria,8363404
2010,the World,25840,Belgium,10895586
2010,the World,205,Cyprus,1112612
2010,the World,16123,Czech Republic,10474410
2010,the World,133195,Germany,81776930
2010,the World,6762,Denmark,5547683
2010,the World,912,Estonia,1331475
2010,the World,1184,Greece,11121341
2010,the World,9119,Spain,46576897
2010,the World,5241,Finland,5363352
2010,the World,80611,France,65027507
2010,the World,619,Croatia,4295427
2010,the World,15668,Hungary,10000023
2010,the World,17246,Ireland,4560155
2010,the World,22091,Italy,59277417
2010,the World,945,Lithuania,3097282
2010,the World,4354,Luxembourg,506953
2010,the World,344,Latvia,2097555
2010,the World,891,Malta,414508
2010,the World,80538,Netherlands,16615394
2010,the World,7289,Poland,38042794
2010,the World,1130,Portugal,10573100
2010,the World,3670,Romania,20246871
2010,the World,17322,Sweden,9378126
2010,the World,1167,Slovenia,2048583
2010,the World,3216,Slovak Republic,5391428
2010,the World,55481,United Kingdom,62766365
2011,non-EU Countries,5825,Austria,8391643
2011,non-EU Countries,9264,Belgium,11038264
2011,non-EU Countries,273,Bulgaria,7348328
2011,non-EU Countries,43,Cyprus,1124833
2011,non-EU Countries,3954,Czech Republic,10496088
2011,non-EU Countries,63414,Germany,80274983
2011,non-EU Countries,3661,Denmark,5570572
2011,non-EU Countries,496,Estonia,1327439
2011,non-EU Countries,510,Greece,11104899
2011,non-EU Countries,4039,Spain,46742697
2011,non-EU Countries,2727,Finland,5388272
2011,non-EU Countries,42513,France,65342780
2011,non-EU Countries,250,Croatia,4280622
2011,non-EU Countries,6951,Hungary,9971727
2011,non-EU Countries,10783,Ireland,4580084
2011,non-EU Countries,12627,Italy,59379449
2011,non-EU Countries,315,Lithuania,3028115
2011,non-EU Countries,1116,Luxembourg,518347
2011,non-EU Countries,322,Latvia,2059709
2011,non-EU Countries,769,Malta,416268
2011,non-EU Countries,18748,Netherlands,16693074
2011,non-EU Countries,1896,Poland,38063255
2011,non-EU Countries,630,Portugal,10557560
2011,non-EU Countries,1307,Romania,20147528
2011,non-EU Countries,11253,Sweden,9449213
2011,non-EU Countries,540,Slovenia,2052843
2011,non-EU Countries,486,Slovak Republic,5398384
2011,non-EU Countries,35373,United Kingdom,63258918
2011,EU Member States,8449,Austria,8391643
2011,EU Member States,17078,Belgium,11038264
2011,EU Member States,150,Cyprus,1124833
2011,EU Member States,15283,Czech Republic,10496088
2011,EU Member States,79710,Germany,80274983
2011,EU Member States,3784,Denmark,5570572
2011,EU Member States,1285,Estonia,1327439
2011,EU Member States,601,Greece,11104899
2011,EU Member States,6544,Spain,46742697
2011,EU Member States,1813,Finland,5388272
2011,EU Member States,37686,France,65342780
2011,EU Member States,308,Croatia,4280622
2011,EU Member States,9911,Hungary,9971727
2011,EU Member States,8655,Ireland,4580084
2011,EU Member States,11616,Italy,59379449
2011,EU Member States,823,Lithuania,3028115
2011,EU Member States,2748,Luxembourg,518347
2011,EU Member States,312,Latvia,2059709
2011,EU Member States,64307,Netherlands,16693074
2011,EU Member States,5072,Poland,38063255
2011,EU Member States,685,Portugal,10557560
2011,EU Member States,2685,Romania,20147528
2011,EU Member States,7303,Sweden,9449213
2011,EU Member States,783,Slovenia,2052843
2011,EU Member States,3325,Slovak Republic,5398384
2011,EU Member States,24457,United Kingdom,63258918
2011,the World,14274,Austria,8391643
2011,the World,26342,Belgium,11038264
2011,the World,194,Cyprus,1124833
2011,the World,19237,Czech Republic,10496088
2011,the World,143125,Germany,80274983
2011,the World,7446,Denmark,5570572
2011,the World,1780,Estonia,1327439
2011,the World,1111,Greece,11104899
2011,the World,10583,Spain,46742697
2011,the World,4539,Finland,5388272
2011,the World,80199,France,65342780
2011,the World,559,Croatia,4280622
2011,the World,16861,Hungary,9971727
2011,the World,19438,Ireland,4580084
2011,the World,24243,Italy,59379449
2011,the World,1138,Lithuania,3028115
2011,the World,3863,Luxembourg,518347
2011,the World,633,Latvia,2059709
2011,the World,948,Malta,416268
2011,the World,83055,Netherlands,16693074
2011,the World,6968,Poland,38063255
2011,the World,1315,Portugal,10557560
2011,the World,3992,Romania,20147528
2011,the World,18556,Sweden,9449213
2011,the World,1323,Slovenia,2052843
2011,the World,3811,Slovak Republic,5398384
2011,the World,59830,United Kingdom,63258918
2012,non-EU Countries,6473,Austria,8429991
2012,non-EU Countries,12813,Belgium,11106932
2012,non-EU Countries,321,Bulgaria,7305888
2012,non-EU Countries,76,Cyprus,1135046
2012,non-EU Countries,4663,Czech Republic,10510785
2012,non-EU Countries,73086,Germany,80425823
2012,non-EU Countries,4146,Denmark,5591572
2012,non-EU Countries,465,Estonia,1322696
2012,non-EU Countries,354,Greece,11045011
2012,non-EU Countries,4459,Spain,46773055
2012,non-EU Countries,2538,Finland,5413971
2012,non-EU Countries,47804,France,65659809
2012,non-EU Countries,406,Croatia,4267558
2012,non-EU Countries,5285,Hungary,9920362
2012,non-EU Countries,7815,Ireland,4599533
2012,non-EU Countries,13140,Italy,59539717
2012,non-EU Countries,468,Lithuania,2987773
2012,non-EU Countries,1278,Luxembourg,530946
2012,non-EU Countries,271,Latvia,2034319
2012,non-EU Countries,821,Malta,420028
2012,non-EU Countries,24448,Netherlands,16754962
2012,non-EU Countries,2789,Poland,38063164
2012,non-EU Countries,619,Portugal,10514844
2012,non-EU Countries,436,Romania,20058035
2012,non-EU Countries,9063,Sweden,9519374
2012,non-EU Countries,608,Slovenia,2057159
2012,non-EU Countries,875,Slovak Republic,5407579
2012,non-EU Countries,39417,United Kingdom,63700300
2012,EU Member States,10121,Austria,8429991
2012,EU Member States,16912,Belgium,11106932
2012,EU Member States,83,Cyprus,1135046
2012,EU Member States,15002,Czech Republic,10510785
2012,EU Member States,82136,Germany,80425823
2012,EU Member States,3642,Denmark,5591572
2012,EU Member States,1304,Estonia,1322696
2012,EU Member States,531,Greece,11045011
2012,EU Member States,6988,Spain,46773055
2012,EU Member States,1626,Finland,5413971
2012,EU Member States,40810,France,65659809
2012,EU Member States,286,Croatia,4267558
2012,EU Member States,8674,Hungary,9920362
2012,EU Member States,12241,Ireland,4599533
2012,EU Member States,11660,Italy,59539717
2012,EU Member States,865,Lithuania,2987773
2012,EU Member States,2637,Luxembourg,530946
2012,EU Member States,435,Latvia,2034319
2012,EU Member States,159,Malta,420028
2012,EU Member States,71331,Netherlands,16754962
2012,EU Member States,5805,Poland,38063164
2012,EU Member States,874,Portugal,10514844
2012,EU Member States,2402,Romania,20058035
2012,EU Member States,8173,Sweden,9519374
2012,EU Member States,695,Slovenia,2057159
2012,EU Member States,4289,Slovak Republic,5407579
2012,EU Member States,24688,United Kingdom,63700300
2012,the World,16594,Austria,8429991
2012,the World,29724,Belgium,11106932
2012,the World,794,Bulgaria,7305888
2012,the World,159,Cyprus,1135046
2012,the World,19665,Czech Republic,10510785
2012,the World,155222,Germany,80425823
2012,the World,7788,Denmark,5591572
2012,the World,1769,Estonia,1322696
2012,the World,885,Greece,11045011
2012,the World,11447,Spain,46773055
2012,the World,4165,Finland,5413971
2012,the World,88614,France,65659809
2012,the World,691,Croatia,4267558
2012,the World,13959,Hungary,9920362
2012,the World,20056,Ireland,4599533
2012,the World,24800,Italy,59539717
2012,the World,1333,Lithuania,2987773
2012,the World,3914,Luxembourg,530946
2012,the World,706,Latvia,2034319
2012,the World,980,Malta,420028
2012,the World,95779,Netherlands,16754962
2012,the World,8594,Poland,38063164
2012,the World,1492,Portugal,10514844
2012,the World,2838,Romania,20058035
2012,the World,17236,Sweden,9519374
2012,the World,1303,Slovenia,2057159
2012,the World,5164,Slovak Republic,5407579
2012,the World,64106,United Kingdom,63700300
2013,non-EU Countries,6643,Austria,8479823
2013,non-EU Countries,12146,Belgium,11159407
2013,non-EU Countries,127,Cyprus,1143866
2013,non-EU Countries,4639,Czech Republic,10514272
2013,non-EU Countries,74880,Germany,80645605
2013,non-EU Countries,4103,Denmark,5614932
2013,non-EU Countries,377,Estonia,1317997
2013,non-EU Countries,275,Greece,10965211
